H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202505,二次調整力1,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250501B01,募集量（TSO別）[MW],107,172,525,42,57,288,168,43,186,1588
20250501B01,応札量合計（電源属地別）[MW],209,68,0,0,69,324.408,205.35,15,259,1149.758
20250501B01,落札量合計（電源属地別）[MW],138.5,68,0,0,69,289.47,168,15,248,995.97
20250501B01,応札件数（電源属地別）[件],4,3,0,0,1,5,7,1,5,26
20250501B01,落札件数（電源属地別）[件],3,3,0,0,1,5,6,1,5,24
20250501B01,最高落札価格（電源属地別）[円/kW・30分],1.61,3.61,0,0,1.01,5.19,0.56,1.19,0.98,5.19
20250501B01,最低落札価格（電源属地別）[円/kW・30分],1.32,1.99,0,0,1.01,0.36,0.36,1.19,0.36,0.36
20250501B01,平均落札価格（電源属地別）[円/kW・30分],1.44,2.94,0,0,1.01,3.83,0.42,1.19,0.48,1.79
20250501B01,最高落札価格（TSO別）[円/kW・30分],1.61,3.61,0,0,1.01,5.19,0.56,1.19,0.98,5.19
20250501B01,最低落札価格（TSO別）[円/kW・30分],1.32,1.99,0,0,1.01,0.36,0.36,1.19,0.36,0.36
20250501B01,平均落札価格（TSO別）[円/kW・30分],1.44,2.94,0,0,1.01,3.83,0.42,1.19,0.48,1.79
20250501B01,落札量合計（TSO別）[MW],138.5,68,0,0,69,289.47,168,15,248,995.97
20250501B01,（内訳）自エリアからの落札量[MW],138.5,68,0,0,69,289.47,168,15,248,995.97
20250501B02,募集量（TSO別）[MW],105,173,530,50,62,310,165,52,205,1652
20250501B02,応札量合計（電源属地別）[MW],208,68,29.21,29,69,324.408,205.35,15,303,1250.968
20250501B02,落札量合計（電源属地別）[MW],182,68,29.21,29,69,310,193.919,15,239,1135.129
20250501B02,応札件数（電源属地別）[件],3,3,1,2,1,5,7,1,6,29
20250501B02,落札件数（電源属地別）[件],3,3,1,2,1,5,7,1,6,29
20250501B02,最高落札価格（電源属地別）[円/kW・30分],6.83,3.62,2.57,1.67,1.81,5.73,0.88,1.73,2.03,6.83
20250501B02,最低落札価格（電源属地別）[円/kW・30分],1.27,2,2.57,1.66,1.81,1.08,0.36,1.73,0.36,0.36
20250501B02,平均落札価格（電源属地別）[円/kW・30分],3.42,2.95,2.57,1.67,1.81,4.2,0.51,1.73,0.9,2.39
20250501B02,最高落札価格（TSO別）[円/kW・30分],6.83,3.62,2.57,1.67,1.81,5.73,0.88,1.73,2.03,6.83
