H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数,,,,,,,,
P,確報値,202404,二次調整力2,8,,,,,,,,
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240401B01,システム約定結果,募集量（TSO別）[MW],67,227,237,136,36,198,82,35,139,1157
20240401B01,システム約定結果,応札量合計（電源属地別）[MW],0,230,133.62,0,140,213.916,181.324,83,50,1031.86
20240401B01,システム約定結果,落札量合計（電源属地別）[MW],0,230,133.62,0,130,213.916,181.324,83,50,1021.86
20240401B01,システム約定結果,応札件数（電源属地別）[件],0,3,4,0,2,10,7,6,1,33
20240401B01,システム約定結果,落札件数（電源属地別）[件],0,3,4,0,2,10,7,6,1,33
20240401B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],0,2.39,0.34,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],0,0.75,0.34,0,0.34,0.34,0.43,0.34,9.96,0.34
20240401B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],0,1.11,0.34,0,0.48,0.34,0.59,0.5,9.96,1.06
20240401B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],0,2.39,0.34,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],0,0.75,0.34,0,0.34,0.34,0.43,0.34,9.96,0.34
20240401B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],0,1.11,0.34,0,0.48,0.34,0.59,0.5,9.96,1.06
20240401B01,システム約定結果,落札量合計（TSO別）[MW],0,230,133.62,0,130,213.916,181.324,83,50,1021.86
20240401B01,システム約定結果,（内訳）自エリアからの落札量[MW],0,230,133.62,0,130,213.916,181.324,83,50,1021.86
20240401B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20240401B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,6,77,83
20240401B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,6,77,83
20240401B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,1,3,4
20240401B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,1,3,4
20240401B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,6.05
20240401B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,0.34
20240401B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,5.64
20240401B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,6.05
20240401B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,0.34
20240401B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,5.64
20240401B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,6,77,83
20240401B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,6,77,83
20240401B01,合計（確報値）,募集量（TSO別）[MW],67,227,237,136,36,198,82,35,139,1157
20240401B01,合計（確報値）,応札量合計（電源属地別）[MW],0,280,133.62,0,140,213.916,181.324,89,127,1164.86
20240401B01,合計（確報値）,約定量合計（電源属地別）[MW],0,230,133.62,0,130,213.916,181.324,89,127,1104.86
20240401B01,合計（確報値）,応札件数（電源属地別）[件],0,5,4,0,2,10,7,7,4,39
20240401B01,合計（確報値）,約定件数（電源属地別）[件],0,4,4,0,2,10,7,7,4,38
20240401B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],0,1.19,0.34,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],0,0.75,0.34,0,0.34,0.34,0.43,0.34,6.05,0.34
20240401B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],0,0.85,0.34,0,0.48,0.34,0.59,0.49,7.59,1.35
20240401B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],0,1.19,0.34,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0,0.75,0.34,0,0.34,0.34,0.43,0.34,6.05,0.34
20240401B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],0,0.85,0.34,0,0.48,0.34,0.59,0.49,7.59,1.35
20240401B01,合計（確報値）,約定量合計（TSO別）[MW],0,230,133.62,0,130,213.916,181.324,89,127,1104.86
20240401B01,合計（確報値）,（内訳）自エリアからの約定量[MW],0,230,133.62,0,130,213.916,181.324,89,127,1104.86
20240401B02,システム約定結果,募集量（TSO別）[MW],72,232,134,165,33,141,89,35,150,1051
