H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202412,二次調整力2,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20241201B01,システム約定結果,募集量（TSO別）[MW],55,170,266,0,42,184,90,36,148,991
20241201B01,システム約定結果,応札量合計（電源属地別）[MW],131,140,430.245,0,96,405.2,119.364,75,354,1750.809
20241201B01,システム約定結果,落札量合計（電源属地別）[MW],131,140,430.245,0,87,405.2,119.364,75,350,1737.809
20241201B01,システム約定結果,応札件数（電源属地別）[件],2,2,6,0,1,4,5,3,5,28
20241201B01,システム約定結果,落札件数（電源属地別）[件],2,2,6,0,1,4,5,3,5,28
20241201B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],9.19,6.79,0.34,0,0.34,5.6,1.81,1.12,5.85,9.19
20241201B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],7.63,2.65,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20241201B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],7.99,4.13,0.34,0,0.34,3.03,0.92,0.5,1.69,2.17
20241201B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],9.19,7.63,0.34,0,0.34,5.6,1.81,1.12,5.85,9.19
20241201B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],7.63,0.34,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20241201B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],8.04,4.15,0.34,0,0.34,3.03,0.92,0.5,1.69,2.17
20241201B01,システム約定結果,落札量合計（TSO別）[MW],115,170,416.245,0,87,405.2,119.364,75,350,1737.809
20241201B01,システム約定結果,（内訳）自エリアからの落札量[MW],115,140,416.245,0,87,405.2,119.364,75,350,1707.809
20241201B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20241201B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20241201B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20241201B01,合計（確報値）,募集量（TSO別）[MW],55,170,266,0,42,184,90,36,148,991
20241201B01,合計（確報値）,応札量合計（電源属地別）[MW],131,140,430.245,0,96,405.2,119.364,75,354,1750.809
20241201B01,合計（確報値）,約定量合計（電源属地別）[MW],131,140,430.245,0,87,405.2,119.364,75,350,1737.809
20241201B01,合計（確報値）,応札件数（電源属地別）[件],2,2,6,0,1,4,5,3,5,28
20241201B01,合計（確報値）,約定件数（電源属地別）[件],2,2,6,0,1,4,5,3,5,28
20241201B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],9.19,6.79,0.34,0,0.34,5.6,1.81,1.12,5.85,9.19
20241201B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],7.63,2.65,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20241201B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],7.99,4.13,0.34,0,0.34,3.03,0.92,0.5,1.69,2.17
20241201B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],9.19,7.63,0.34,0,0.34,5.6,1.81,1.12,5.85,9.19
20241201B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],7.63,0.34,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20241201B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],8.04,4.15,0.34,0,0.34,3.03,0.92,0.5,1.69,2.17
20241201B01,合計（確報値）,約定量合計（TSO別）[MW],115,170,416.245,0,87,405.2,119.364,75,350,1737.809
20241201B01,合計（確報値）,（内訳）自エリアからの約定量[MW],115,140,416.245,0,87,405.2,119.364,75,350,1707.809
20241201B02,システム約定結果,募集量（TSO別）[MW],43,155,205,0,32,143,83,27,142,830
20241201B02,システム約定結果,応札量合計（電源属地別）[MW],131,140,692.045,0,86,405.2,119.364,71,325,1969.609
20241201B02,システム約定結果,落札量合計（電源属地別）[MW],131,140,692.045,0,81,405.2,119.364,71,316,1955.609
20241201B02,システム約定結果,応札件数（電源属地別）[件],2,2,8,0,1,4,5,3,4,29
20241201B02,システム約定結果,落札件数（電源属地別）[件],2,2,8,0,1,4,5,3,4,29
20241201B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],9.38,6.75,3.68,0,0.34,5.73,2.76,1.18,4.39,9.38
20241201B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],8.99,2.62,0.34,0,0.34,0.34,0.34,0.34,0.37,0.34
20241201B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],9.29,4.1,1.6,0,0.34,3.09,1.3,0.52,3.08,2.73
20241201B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],9.38,9.38,3.68,0,0.34,5.73,2.76,1.18,4.39,9.38
20241201B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],8.99,2.62,0.34,0,0.34,0.34,0.34,0.34,0.37,0.34
20241201B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],9.29,4.13,1.56,0,0.34,3.09,1.3,0.52,3.08,2.73
20241201B02,システム約定結果,落札量合計（TSO別）[MW],129,155,679.045,0,81,405.2,119.364,71,316,1955.609
20241201B02,システム約定結果,（内訳）自エリアからの落札量[MW],129,140,679.045,0,81,405.2,119.364,71,316,1940.609
20241201B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20241201B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20241201B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20241201B02,合計（確報値）,募集量（TSO別）[MW],43,155,205,0,32,143,83,27,142,830
20241201B02,合計（確報値）,応札量合計（電源属地別）[MW],131,140,692.045,0,86,405.2,119.364,71,325,1969.609
20241201B02,合計（確報値）,約定量合計（電源属地別）[MW],131,140,692.045,0,81,405.2,119.364,71,316,1955.609
20241201B02,合計（確報値）,応札件数（電源属地別）[件],2,2,8,0,1,4,5,3,4,29
20241201B02,合計（確報値）,約定件数（電源属地別）[件],2,2,8,0,1,4,5,3,4,29
20241201B02,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],9.38,6.75,3.68,0,0.34,5.73,2.76,1.18,4.39,9.38
20241201B02,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],8.99,2.62,0.34,0,0.34,0.34,0.34,0.34,0.37,0.34
20241201B02,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],9.29,4.1,1.6,0,0.34,3.09,1.3,0.52,3.08,2.73
20241201B02,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],9.38,9.38,3.68,0,0.34,5.73,2.76,1.18,4.39,9.38
20241201B02,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],8.99,2.62,0.34,0,0.34,0.34,0.34,0.34,0.37,0.34
20241201B02,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],9.29,4.13,1.56,0,0.34,3.09,1.3,0.52,3.08,2.73
20241201B02,合計（確報値）,約定量合計（TSO別）[MW],129,155,679.045,0,81,405.2,119.364,71,316,1955.609
20241201B02,合計（確報値）,（内訳）自エリアからの約定量[MW],129,140,679.045,0,81,405.2,119.364,71,316,1940.609
20241201B03,システム約定結果,募集量（TSO別）[MW],113,339,479,325,62,312,202,57,312,2201
20241201B03,システム約定結果,応札量合計（電源属地別）[MW],141,230,746.308,0,102,405.2,119.364,98,591,2432.872
20241201B03,システム約定結果,落札量合計（電源属地別）[MW],141,230,746.308,0,102,405.2,119.364,98,569,2410.872
20241201B03,システム約定結果,応札件数（電源属地別）[件],2,3,9,0,1,4,5,3,4,31
20241201B03,システム約定結果,落札件数（電源属地別）[件],2,3,9,0,1,4,5,3,3,30
20241201B03,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],8.49,7.28,3.68,0,0.34,6.16,2.86,3.12,9.36,9.36
20241201B03,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],5.29,0.34,0.34,0,0.34,0.34,0.39,0.34,4.13,0.34
20241201B03,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],7.81,2.87,2.26,0,0.34,3.23,1.38,0.77,6.14,3.54
20241201B03,システム約定結果,最高落札価格（TSO別）[円/kW・30分],8.49,8.49,3.68,0,0.34,6.16,2.86,3.12,9.36,9.36
20241201B03,システム約定結果,最低落札価格（TSO別）[円/kW・30分],5.29,0.34,0.34,0,0.34,0.34,0.34,0.34,4.13,0.34
20241201B03,システム約定結果,平均落札価格（TSO別）[円/kW・30分],7.78,2.41,2.46,0,0.34,3.72,0.95,0.9,6.14,3.54
20241201B03,システム約定結果,落札量合計（TSO別）[MW],135,339,643.308,0,102,346.5,202,74.064,569,2410.872
20241201B03,システム約定結果,（内訳）自エリアからの落札量[MW],135,230,643.308,0,102,346.5,119.364,74.064,569,2219.236
