H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数,,,,,,,,
P,確報値,202503,二次調整力2,8,,,,,,,,
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250301B01,システム約定結果,募集量（TSO別）[MW],58,209,238,0,32,179,97,36,97,946
20250301B01,システム約定結果,応札量合計（電源属地別）[MW],158.8,360,0,0,102,599.12,215.484,108,237,1780.404
20250301B01,システム約定結果,落札量合計（電源属地別）[MW],153,360,0,0,102,479.835,215.484,108,237,1655.319
20250301B01,システム約定結果,応札件数（電源属地別）[件],3,4,0,0,1,5,7,3,4,27
20250301B01,システム約定結果,落札件数（電源属地別）[件],3,4,0,0,1,5,7,3,4,27
20250301B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4,2.53,0,0,1.37,5.38,2.39,1.33,3.02,5.38
20250301B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],2.99,1.76,0,0,1.37,0.34,0.34,0.34,0.41,0.34
20250301B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.14,2.24,0,0,1.37,1.79,1.59,0.52,1.04,1.77
20250301B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4,2.53,0,0,1.37,5.38,2.39,1.33,3.02,5.38
20250301B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],2.99,1.76,0,0,1.37,0.34,0.34,0.34,0.41,0.34
20250301B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.14,2.24,0,0,1.37,1.79,1.59,0.52,1.04,1.77
20250301B01,システム約定結果,落札量合計（TSO別）[MW],153,360,0,0,102,479.835,215.484,108,237,1655.319
20250301B01,システム約定結果,（内訳）自エリアからの落札量[MW],153,360,0,0,102,479.835,215.484,108,237,1655.319
20250301B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,合計（確報値）,募集量（TSO別）[MW],58,209,238,0,32,179,97,36,97,946
20250301B01,合計（確報値）,応札量合計（電源属地別）[MW],158.8,360,0,0,102,599.12,215.484,108,237,1780.404
20250301B01,合計（確報値）,約定量合計（電源属地別）[MW],153,360,0,0,102,479.835,167.234,108,237,1607.069
20250301B01,合計（確報値）,応札件数（電源属地別）[件],3,4,0,0,1,5,7,3,4,27
20250301B01,合計（確報値）,約定件数（電源属地別）[件],3,4,0,0,1,5,6,3,4,26
20250301B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],4,2.53,0,0,1.37,5.38,2.39,1.33,3.02,5.38
20250301B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],2.99,1.76,0,0,1.37,0.34,0.34,0.34,0.41,0.34
20250301B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],3.14,2.24,0,0,1.37,1.79,1.38,0.52,1.04,1.75
20250301B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],4,2.53,0,0,1.37,5.38,2.39,1.33,3.02,5.38
20250301B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],2.99,1.76,0,0,1.37,0.34,0.34,0.34,0.41,0.34
20250301B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],3.14,2.24,0,0,1.37,1.79,1.38,0.52,1.04,1.75
20250301B01,合計（確報値）,約定量合計（TSO別）[MW],153,360,0,0,102,479.835,167.234,108,237,1607.069
20250301B01,合計（確報値）,（内訳）自エリアからの約定量[MW],153,360,0,0,102,479.835,167.234,108,237,1607.069
20250301B02,システム約定結果,募集量（TSO別）[MW],58,207,201,0,29,141,83,30,89,838
20250301B02,システム約定結果,応札量合計（電源属地別）[MW],141,360,0,0,102,461.12,215.484,100,149,1528.604
20250301B02,システム約定結果,落札量合計（電源属地別）[MW],129,360,0,0,102,461.12,215.484,100,149,1516.604
20250301B02,システム約定結果,応札件数（電源属地別）[件],2,4,0,0,1,4,7,3,3,24
20250301B02,システム約定結果,落札件数（電源属地別）[件],2,4,0,0,1,4,7,3,3,24
20250301B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],3.65,2.82,0,0,1.41,0.34,3.33,1.44,1.57,3.65
20250301B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.01,1.98,0,0,1.41,0.34,0.34,0.34,1.08,0.34
20250301B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.16,2.52,0,0,1.41,0.34,2.21,0.55,1.37,1.55
20250301B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],3.65,2.82,0,0,1.41,0.34,3.33,1.44,1.57,3.65
20250301B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],3.01,1.98,0,0,1.41,0.34,0.34,0.34,1.08,0.34
20250301B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.16,2.52,0,0,1.41,0.34,2.21,0.55,1.37,1.55
20250301B02,システム約定結果,落札量合計（TSO別）[MW],129,360,0,0,102,461.12,215.484,100,149,1516.604
20250301B02,システム約定結果,（内訳）自エリアからの落札量[MW],129,360,0,0,102,461.12,215.484,100,149,1516.604
20250301B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,合計（確報値）,募集量（TSO別）[MW],58,207,201,0,29,141,83,30,89,838
20250301B02,合計（確報値）,応札量合計（電源属地別）[MW],141,360,0,0,102,461.12,215.484,100,149,1528.604
20250301B02,合計（確報値）,約定量合計（電源属地別）[MW],129,360,0,0,102,461.12,167.234,100,149,1468.354
20250301B02,合計（確報値）,応札件数（電源属地別）[件],2,4,0,0,1,4,7,3,3,24
20250301B02,合計（確報値）,約定件数（電源属地別）[件],2,4,0,0,1,4,6,3,3,23
20250301B02,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],3.65,2.82,0,0,1.41,0.34,3.33,1.44,1.57,3.65
20250301B02,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],3.01,1.98,0,0,1.41,0.34,0.34,0.34,1.08,0.34
20250301B02,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],3.16,2.52,0,0,1.41,0.34,1.92,0.55,1.37,1.49
20250301B02,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],3.65,2.82,0,0,1.41,0.34,3.33,1.44,1.57,3.65
20250301B02,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],3.01,1.98,0,0,1.41,0.34,0.34,0.34,1.08,0.34
20250301B02,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],3.16,2.52,0,0,1.41,0.34,1.92,0.55,1.37,1.49
20250301B02,合計（確報値）,約定量合計（TSO別）[MW],129,360,0,0,102,461.12,167.234,100,149,1468.354
20250301B02,合計（確報値）,（内訳）自エリアからの約定量[MW],129,360,0,0,102,461.12,167.234,100,149,1468.354
20250301B03,システム約定結果,募集量（TSO別）[MW],123,441,499,229,65,327,197,92,260,2233
20250301B03,システム約定結果,応札量合計（電源属地別）[MW],141,360,254.2,0,164,461.12,216.452,174,149,1919.772
20250301B03,システム約定結果,落札量合計（電源属地別）[MW],141,360,254.2,0,164,461.12,216.452,174,149,1919.772
20250301B03,システム約定結果,応札件数（電源属地別）[件],2,4,2,0,2,4,7,3,3,27
20250301B03,システム約定結果,落札件数（電源属地別）[件],2,4,2,0,2,4,7,3,3,27
20250301B03,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4.74,3.03,4.54,0,2.76,0.34,2.79,1.64,1.9,4.74
20250301B03,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],1.96,2.12,4.54,0,1.86,0.34,0.37,0.34,1.49,0.34
20250301B03,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],2.55,2.72,4.54,0,2.2,0.34,1.87,0.47,1.73,1.96
20250301B03,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4.74,3.03,4.54,0,2.76,0.34,2.79,1.64,1.9,4.74
20250301B03,システム約定結果,最低落札価格（TSO別）[円/kW・30分],1.96,2.12,4.54,0,1.86,0.34,0.34,0.34,0.34,0.34
20250301B03,システム約定結果,平均落札価格（TSO別）[円/kW・30分],2.55,2.72,4.54,0,2.2,0.34,1.77,0.57,1.14,1.96
20250301B03,システム約定結果,落札量合計（TSO別）[MW],141,360,254.2,0,164,405.39,231.452,103.73,260,1919.772
20250301B03,システム約定結果,（内訳）自エリアからの落札量[MW],141,360,254.2,0,164,405.39,216.452,103.73,149,1793.772
20250301B03,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B03,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B03,合計（確報値）,募集量（TSO別）[MW],123,441,499,229,65,327,197,92,260,2233
20250301B03,合計（確報値）,応札量合計（電源属地別）[MW],141,450,254.2,0,164,461.12,216.454,174,149,2009.774
20250301B03,合計（確報値）,約定量合計（電源属地別）[MW],141,360,254.2,0,164,461.12,167.236,174,149,1870.556
20250301B03,合計（確報値）,応札件数（電源属地別）[件],2,7,2,0,2,4,8,3,3,31
20250301B03,合計（確報値）,約定件数（電源属地別）[件],2,6,2,0,2,4,7,3,3,29
20250301B03,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],4.74,3.03,4.54,0,2.76,0.34,2.79,1.64,1.9,4.74
20250301B03,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],1.96,2.12,4.54,0,1.86,0.34,0.37,0.34,1.49,0.34
20250301B03,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],2.55,2.72,4.54,0,2.2,0.34,1.62,0.47,1.73,1.94
20250301B03,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],4.74,3.03,4.54,0,2.76,0.34,2.79,1.64,1.9,4.74
20250301B03,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],1.96,2.12,4.54,0,1.86,0.34,0.34,0.34,0.34,0.34
20250301B03,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],2.55,2.72,4.54,0,2.2,0.34,1.52,0.57,1.14,1.94
20250301B03,合計（確報値）,約定量合計（TSO別）[MW],141,360,254.2,0,164,405.39,182.236,103.73,260,1870.556
20250301B03,合計（確報値）,（内訳）自エリアからの約定量[MW],141,360,254.2,0,164,405.39,167.236,103.73,149,1744.556
20250301B04,システム約定結果,募集量（TSO別）[MW],108,588,551,196,60,278,185,122,248,2336
20250301B04,システム約定結果,応札量合計（電源属地別）[MW],155,270,663.2,0,167,461.12,216.452,180,412,2524.772
20250301B04,システム約定結果,落札量合計（電源属地別）[MW],155,270,663.2,0,167,461.12,216.452,180,355,2467.772
20250301B04,システム約定結果,応札件数（電源属地別）[件],3,3,5,0,2,4,7,3,6,33
20250301B04,システム約定結果,落札件数（電源属地別）[件],3,3,5,0,2,4,7,3,6,33
