H,需給調整市場取引結果,対象年月日,取引年月日,商品区分,ブロック数
P,速報値,20210413,20210412,三次調整力2,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
B01,募集量（TSO別）[MW],,,,,,,,,,
B01,応札量合計（電源属地別）[MW],,,,,,,,,,
B01,落札量合計（電源属地別）[MW],,,,,,,,,,
B01,最高落札価格（電源属地別）[円/kW],,,,,,,,,
B01,最低落札価格（電源属地別）[円/kW],,,,,,,,,
B01,平均落札価格（電源属地別）[円/kW],,,,,,,,,
B01,落札量合計（TSO別）[MW],,,,,,,,,,
B01,（内訳）自エリアからの落札量[MW],,,,,,,,,,
B02,募集量（TSO別）[MW],,,,,,,,,,
B02,応札量合計（電源属地別）[MW],,,,,,,,,,
B02,落札量合計（電源属地別）[MW],,,,,,,,,,
B02,最高落札価格（電源属地別）[円/kW],,,,,,,,,
B02,最低落札価格（電源属地別）[円/kW],,,,,,,,,
B02,平均落札価格（電源属地別）[円/kW],,,,,,,,,
B02,落札量合計（TSO別）[MW],,,,,,,,,,
B02,（内訳）自エリアからの落札量[MW],,,,,,,,,,
B03,募集量（TSO別）[MW],,,,,,,,,,
B03,応札量合計（電源属地別）[MW],,,,,,,,,,
B03,落札量合計（電源属地別）[MW],,,,,,,,,,
B03,最高落札価格（電源属地別）[円/kW],,,,,,,,,
B03,最低落札価格（電源属地別）[円/kW],,,,,,,,,
B03,平均落札価格（電源属地別）[円/kW],,,,,,,,,
B03,落札量合計（TSO別）[MW],,,,,,,,,,
B03,（内訳）自エリアからの落札量[MW],,,,,,,,,,
B04,募集量（TSO別）[MW],,,,,,,,,,
B04,応札量合計（電源属地別）[MW],,,,,,,,,,
B04,落札量合計（電源属地別）[MW],,,,,,,,,,
B04,最高落札価格（電源属地別）[円/kW],,,,,,,,,
B04,最低落札価格（電源属地別）[円/kW],,,,,,,,,
B04,平均落札価格（電源属地別）[円/kW],,,,,,,,,
B04,落札量合計（TSO別）[MW],,,,,,,,,,
B04,（内訳）自エリアからの落札量[MW],,,,,,,,,,
B05,募集量（TSO別）[MW],,,,,,,,,,
