H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数,,,,,,,,
P,確報値,202404,二次調整力1,8,,,,,,,,
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240401B01,システム約定結果,募集量（TSO別）[MW],120,273,811,470,100,458,246,76,269,2823
20240401B01,システム約定結果,応札量合計（電源属地別）[MW],120,114,0,0,140,213.916,181.324,74,50,893.24
20240401B01,システム約定結果,落札量合計（電源属地別）[MW],120,114,0,0,130,213.916,181.324,74,50,883.24
20240401B01,システム約定結果,応札件数（電源属地別）[件],1,3,0,0,2,10,7,5,1,29
20240401B01,システム約定結果,落札件数（電源属地別）[件],1,3,0,0,2,10,7,5,1,29
20240401B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],3.88,2.39,0,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.88,0.75,0,0,0.34,0.34,0.43,0.34,9.96,0.34
20240401B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.88,1.47,0,0,0.48,0.34,0.59,0.51,9.96,1.6
20240401B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],3.88,2.39,0,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],3.88,0.75,0,0,0.34,0.34,0.43,0.34,9.96,0.34
20240401B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.88,1.47,0,0,0.48,0.34,0.59,0.51,9.96,1.6
20240401B01,システム約定結果,落札量合計（TSO別）[MW],120,114,0,0,130,213.916,181.324,74,50,883.24
20240401B01,システム約定結果,（内訳）自エリアからの落札量[MW],120,114,0,0,130,213.916,181.324,74,50,883.24
20240401B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20240401B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,77,77
20240401B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,77,77
20240401B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,3,3
20240401B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,3,3
20240401B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,6.05,6.05
20240401B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,6.05,6.05
20240401B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,6.05,6.05
20240401B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,6.05,6.05
20240401B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,6.05,6.05
20240401B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,6.05,6.05
20240401B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,77,77
20240401B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,77,77
20240401B01,合計（確報値）,募集量（TSO別）[MW],120,273,811,470,100,458,246,76,269,2823
20240401B01,合計（確報値）,応札量合計（電源属地別）[MW],120,164,0,0,140,213.916,181.324,74,127,1020.24
20240401B01,合計（確報値）,約定量合計（電源属地別）[MW],120,114,0,0,130,213.916,181.324,74,127,960.24
20240401B01,合計（確報値）,応札件数（電源属地別）[件],1,5,0,0,2,10,7,5,4,34
20240401B01,合計（確報値）,約定件数（電源属地別）[件],1,4,0,0,2,10,7,5,4,33
20240401B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],3.88,1.19,0,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],3.88,0.75,0,0,0.34,0.34,0.43,0.34,6.05,0.34
20240401B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],3.88,0.94,0,0,0.48,0.34,0.59,0.51,7.59,1.89
20240401B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],3.88,1.19,0,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],3.88,0.75,0,0,0.34,0.34,0.43,0.34,6.05,0.34
20240401B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],3.88,0.94,0,0,0.48,0.34,0.59,0.51,7.59,1.89
20240401B01,合計（確報値）,約定量合計（TSO別）[MW],120,114,0,0,130,213.916,181.324,74,127,960.24
20240401B01,合計（確報値）,（内訳）自エリアからの約定量[MW],120,114,0,0,130,213.916,181.324,74,127,960.24
20240401B02,システム約定結果,募集量（TSO別）[MW],115,267,821,483,104,471,258,82,282,2883
20240401B02,システム約定結果,応札量合計（電源属地別）[MW],115,114,0,0,144,213.916,181.324,74,50,892.24
20240401B02,システム約定結果,落札量合計（電源属地別）[MW],115,114,0,0,138,213.916,181.324,74,50,886.24
20240401B02,システム約定結果,応札件数（電源属地別）[件],1,3,0,0,2,10,7,5,1,29
20240401B02,システム約定結果,落札件数（電源属地別）[件],1,3,0,0,2,10,7,5,1,29
20240401B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],3.89,2.04,0,0,1.05,0.52,1.67,0.66,8.81,8.81
20240401B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.89,1.07,0,0,0.46,0.34,1.01,0.34,8.81,0.34
20240401B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.89,1.5,0,0,0.72,0.44,1.19,0.52,8.81,1.7
20240401B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],3.89,2.04,0,0,1.05,0.52,1.67,0.66,8.81,8.81
20240401B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],3.89,1.07,0,0,0.46,0.34,1.01,0.34,8.81,0.34
20240401B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.89,1.5,0,0,0.72,0.44,1.19,0.52,8.81,1.7
20240401B02,システム約定結果,落札量合計（TSO別）[MW],115,114,0,0,138,213.916,181.324,74,50,886.24
20240401B02,システム約定結果,（内訳）自エリアからの落札量[MW],115,114,0,0,138,213.916,181.324,74,50,886.24
20240401B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20240401B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,77,77
20240401B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,77,77
20240401B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,4,4
20240401B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,4,4
20240401B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,5.04,5.04
20240401B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,5.04,5.04
20240401B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,5.04,5.04
20240401B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,5.04,5.04
20240401B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,5.04,5.04
20240401B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,5.04,5.04
20240401B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,77,77
20240401B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,77,77
20240401B02,合計（確報値）,募集量（TSO別）[MW],115,267,821,483,104,471,258,82,282,2883
20240401B02,合計（確報値）,応札量合計（電源属地別）[MW],115,164,0,0,144,213.916,181.324,74,177,1069.24
20240401B02,合計（確報値）,約定量合計（電源属地別）[MW],115,114,0,0,138,213.916,181.324,74,127,963.24
20240401B02,合計（確報値）,応札件数（電源属地別）[件],1,6,0,0,2,10,7,5,6,37
20240401B02,合計（確報値）,約定件数（電源属地別）[件],1,5,0,0,2,10,7,5,5,35
