H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数,,,,,,,,
P,確報値,202503,二次調整力1,8,,,,,,,,
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250301B01,システム約定結果,募集量（TSO別）[MW],124,269,815,212,96,461,249,77,270,2573
20250301B01,システム約定結果,応札量合計（電源属地別）[MW],238.8,80,0,0,102,299.215,215.484,30,237,1202.499
20250301B01,システム約定結果,落札量合計（電源属地別）[MW],153,80,0,0,102,299.215,215.484,30,237,1116.699
20250301B01,システム約定結果,応札件数（電源属地別）[件],4,4,0,0,1,5,7,2,4,27
20250301B01,システム約定結果,落札件数（電源属地別）[件],3,4,0,0,1,5,7,2,4,26
20250301B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4,2.53,0,0,1.37,5.38,2.39,1.33,3.02,5.38
20250301B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],2.99,1.76,0,0,1.37,0.34,0.34,0.68,0.41,0.34
20250301B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.14,2.24,0,0,1.37,2.66,1.59,1.01,1.04,1.99
20250301B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4,2.53,0,0,1.37,5.38,2.39,1.33,3.02,5.38
20250301B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],2.99,1.76,0,0,1.37,0.34,0.34,0.68,0.41,0.34
20250301B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.14,2.24,0,0,1.37,2.66,1.59,1.01,1.04,1.99
20250301B01,システム約定結果,落札量合計（TSO別）[MW],153,80,0,0,102,299.215,215.484,30,237,1116.699
20250301B01,システム約定結果,（内訳）自エリアからの落札量[MW],153,80,0,0,102,299.215,215.484,30,237,1116.699
20250301B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,合計（確報値）,募集量（TSO別）[MW],124,269,815,212,96,461,249,77,270,2573
20250301B01,合計（確報値）,応札量合計（電源属地別）[MW],238.8,80,0,0,102,299.215,215.484,30,237,1202.499
20250301B01,合計（確報値）,約定量合計（電源属地別）[MW],153,80,0,0,102,299.215,167.234,30,237,1068.449
20250301B01,合計（確報値）,応札件数（電源属地別）[件],4,4,0,0,1,5,7,2,4,27
20250301B01,合計（確報値）,約定件数（電源属地別）[件],3,4,0,0,1,5,6,2,4,25
