H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数,,,,,,,,
P,確報値,202503,複合商品,8,,,,,,,,
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250301B01,システム約定結果,募集量（TSO別）[MW],224,586,1329,308,158,737,366,151,439,4298
20250301B01,システム約定結果,応札量合計（電源属地別）[MW],371.79,730.67,0,0,158,996.659,547.819,138,414.979,3357.917
20250301B01,システム約定結果,落札量合計（電源属地別）[MW],255,730.67,0,0,158,640.158,417.842,138,240.979,2580.649
20250301B01,システム約定結果,応札件数（電源属地別）[件],5,5,0,0,1,5,7,3,6,32
20250301B01,システム約定結果,落札件数（電源属地別）[件],4,5,0,0,1,5,7,3,6,31
20250301B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4,2.53,0,0,1.37,5.38,2.39,1.33,19.51,19.51
20250301B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],2.99,1.26,0,0,1.37,0.34,0.34,0.34,0.41,0.34
20250301B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.15,2.22,0,0,1.37,1.82,1.65,0.56,1.35,1.9
20250301B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4,2.53,0,0,1.37,5.38,2.39,1.33,19.51,19.51
20250301B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],2.99,1.26,0,0,1.37,0.34,0.34,0.34,0.34,0.34
20250301B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.15,2.22,0,0,1.37,1.82,1.6,0.56,1.48,1.9
20250301B01,システム約定結果,落札量合計（TSO別）[MW],255,730.67,0,0,148,642,314,138,352.979,2580.649
20250301B01,システム約定結果,（内訳）自エリアからの落札量[MW],255,730.67,0,0,148,640.158,314,138,240.979,2466.807
20250301B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,合計（確報値）,募集量（TSO別）[MW],224,586,1329,308,158,737,366,151,439,4298
20250301B01,合計（確報値）,応札量合計（電源属地別）[MW],371.79,730.67,0,0,158,996.659,547.829,138,414.979,3357.927
20250301B01,合計（確報値）,約定量合計（電源属地別）[MW],255,730.67,0,0,158,640.158,338.506,138,240.979,2501.313
20250301B01,合計（確報値）,応札件数（電源属地別）[件],5,5,0,0,1,5,8,3,6,33
