H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数,,,,,,,,
P,確報値,202404,複合商品,8,,,,,,,,
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240401B01,システム約定結果,募集量（TSO別）[MW],291,517,1206,795,140,748,344,124,383,4548
20240401B01,システム約定結果,応札量合計（電源属地別）[MW],120,585,179.593,0,140,474.736,330.211,115,50,1994.54
20240401B01,システム約定結果,落札量合計（電源属地別）[MW],120,585,179.593,0,130,474.736,280.557,115,50,1934.886
20240401B01,システム約定結果,応札件数（電源属地別）[件],1,3,5,0,2,12,7,6,1,37
20240401B01,システム約定結果,落札件数（電源属地別）[件],1,3,5,0,2,12,7,6,1,37
20240401B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],3.88,2.39,0.34,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.88,0.75,0.34,0,0.34,0.34,0.43,0.34,9.96,0.34
20240401B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.88,1.27,0.34,0,0.48,0.34,0.73,0.45,9.96,1.16
20240401B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],3.88,2.39,0.34,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],0.75,0.75,0.34,0,0.34,0.34,0.34,0.34,9.96,0.34
20240401B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],2.96,0.94,0.34,0,0.48,0.34,0.71,0.47,9.96,1.16
20240401B01,システム約定結果,落札量合計（TSO別）[MW],270,435,179.593,0,130,474.736,298.557,97,50,1934.886
20240401B01,システム約定結果,（内訳）自エリアからの落札量[MW],120,435,179.593,0,130,474.736,280.557,97,50,1766.886
20240401B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20240401B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,27,77,104
20240401B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,27,77,104
20240401B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,2,3,5
20240401B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,2,3,5
20240401B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,6.05
20240401B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,0.34
20240401B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,4.57
20240401B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,6.05
20240401B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,0.34
20240401B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0.34,6.05,4.57
20240401B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,27,77,104
20240401B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,27,77,104
20240401B01,合計（確報値）,募集量（TSO別）[MW],291,517,1206,795,140,748,344,124,383,4548
20240401B01,合計（確報値）,応札量合計（電源属地別）[MW],120,770,179.593,0,140,474.736,330.211,142,127,2283.54
20240401B01,合計（確報値）,約定量合計（電源属地別）[MW],120,585,179.593,0,130,474.736,280.557,142,127,2038.886
20240401B01,合計（確報値）,応札件数（電源属地別）[件],1,6,5,0,2,12,7,8,4,45
20240401B01,合計（確報値）,約定件数（電源属地別）[件],1,5,5,0,2,12,7,8,4,44
20240401B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],3.88,1.19,0.34,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],3.88,0.75,0.34,0,0.34,0.34,0.43,0.34,6.05,0.34
20240401B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],3.88,0.89,0.34,0,0.48,0.34,0.73,0.43,7.59,1.23
20240401B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],3.88,1.19,0.34,0,0.65,0.34,1.02,0.72,9.96,9.96
20240401B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0.75,0.75,0.34,0,0.34,0.34,0.34,0.34,6.05,0.34
20240401B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],2.36,0.8,0.34,0,0.48,0.34,0.71,0.44,7.59,1.23
20240401B01,合計（確報値）,約定量合計（TSO別）[MW],270,435,179.593,0,130,474.736,298.557,124,127,2038.886
20240401B01,合計（確報値）,（内訳）自エリアからの約定量[MW],120,435,179.593,0,130,474.736,280.557,124,127,1870.886
20240401B02,システム約定結果,募集量（TSO別）[MW],306,491,1150,791,144,802,347,137,446,4614
20240401B02,システム約定結果,応札量合計（電源属地別）[MW],115,585,131.299,0,144,754.736,330.211,124,50,2234.246
20240401B02,システム約定結果,落札量合計（電源属地別）[MW],115,585,131.299,0,138,754.736,280.557,124,50,2178.592
20240401B02,システム約定結果,応札件数（電源属地別）[件],1,3,5,0,2,13,7,6,1,38
20240401B02,システム約定結果,落札件数（電源属地別）[件],1,3,5,0,2,13,7,6,1,38
20240401B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],3.89,2.04,0.34,0,1.05,0.86,1.67,0.66,8.81,8.81
20240401B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.89,1.07,0.34,0,0.46,0.34,1.01,0.34,8.81,0.34
20240401B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.89,1.38,0.34,0,0.72,0.42,1.35,0.47,8.81,1.19
20240401B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],3.89,2.04,0.34,0,1.05,0.86,1.67,0.66,8.81,8.81
20240401B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],1.07,1.07,0.34,0,0.46,0.34,0.34,0.34,8.81,0.34
20240401B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],2.44,1.39,0.34,0,0.72,0.42,1.3,0.46,8.81,1.19
20240401B02,システム約定結果,落札量合計（TSO別）[MW],265,435,131.299,0,138,754.736,297.557,107,50,2178.592
20240401B02,システム約定結果,（内訳）自エリアからの落札量[MW],115,435,131.299,0,138,754.736,280.557,107,50,2011.592
20240401B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20240401B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,30,77,107
20240401B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,30,77,107
20240401B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,1,4,5
20240401B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,1,4,5
20240401B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0.34,5.04,5.04
20240401B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0.34,5.04,0.34
20240401B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0.34,5.04,3.72
20240401B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0.34,5.04,5.04
20240401B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0.34,5.04,0.34
20240401B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0.34,5.04,3.72
20240401B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,30,77,107
20240401B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,30,77,107
20240401B02,合計（確報値）,募集量（TSO別）[MW],306,491,1150,791,144,802,347,137,446,4614
20240401B02,合計（確報値）,応札量合計（電源属地別）[MW],115,770,131.299,0,144,754.736,330.211,154,177,2576.246
20240401B02,合計（確報値）,約定量合計（電源属地別）[MW],115,585,131.299,0,138,754.736,280.557,154,127,2285.592
20240401B02,合計（確報値）,応札件数（電源属地別）[件],1,8,5,0,2,13,7,7,6,49
20240401B02,合計（確報値）,約定件数（電源属地別）[件],1,7,5,0,2,13,7,7,5,47
20240401B02,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],3.89,1.07,0.34,0,1.05,0.86,1.67,0.66,5.04,5.04
20240401B02,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],3.89,0.98,0.34,0,0.46,0.34,1.01,0.34,1.61,0.34
20240401B02,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],3.89,1.04,0.34,0,0.72,0.42,1.35,0.44,3.69,1.06
20240401B02,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],3.89,1.07,0.34,0,1.05,0.86,1.67,0.66,5.04,5.04
20240401B02,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0.98,0.98,0.34,0,0.46,0.34,0.34,0.34,1.61,0.34
20240401B02,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],2.28,1.04,0.34,0,0.72,0.42,1.3,0.43,3.69,1.06
20240401B02,合計（確報値）,約定量合計（TSO別）[MW],265,435,131.299,0,138,754.736,297.557,137,127,2285.592
20240401B02,合計（確報値）,（内訳）自エリアからの約定量[MW],115,435,131.299,0,138,754.736,280.557,137,127,2118.592
20240401B03,システム約定結果,募集量（TSO別）[MW],362,721,1606,1467,179,984,518,237,807,6881
20240401B03,システム約定結果,応札量合計（電源属地別）[MW],124,687,109.589,0,179,741.736,251.213,194,50,2336.538
20240401B03,システム約定結果,落札量合計（電源属地別）[MW],124,687,109.589,0,153,741.736,251.213,194,50,2310.538
20240401B03,システム約定結果,応札件数（電源属地別）[件],1,4,4,0,2,13,5,6,1,36
20240401B03,システム約定結果,落札件数（電源属地別）[件],1,4,4,0,2,13,5,6,1,36
20240401B03,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],3.91,2.74,0.34,0,2.19,0.47,1.9,0.79,6.91,6.91
20240401B03,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.91,0.73,0.34,0,1.6,0.34,1.23,0.34,6.91,0.34
20240401B03,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.91,1.32,0.34,0,1.83,0.35,1.62,0.43,6.91,1.22
20240401B03,システム約定結果,最高落札価格（TSO別）[円/kW・30分],3.91,2.74,0.34,0,2.19,0.47,1.9,0.79,6.91,6.91
