H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202408,一次調整力,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240801B01,システム約定結果,募集量（TSO別）[MW],99,260,927,409,110,546,304,84,333,3072
20240801B01,システム約定結果,応札量合計（電源属地別）[MW],103.79,44,0,0,30,96.2,238.769,82,15,609.759
20240801B01,システム約定結果,落札量合計（電源属地別）[MW],101.8,44,0,0,30,96.2,238.769,82,15,607.769
20240801B01,システム約定結果,応札件数（電源属地別）[件],4,3,0,0,1,3,5,5,2,23
20240801B01,システム約定結果,落札件数（電源属地別）[件],3,3,0,0,1,3,5,5,2,22
20240801B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.5,1.99,0,0,0.34,4.39,1.4,1.74,7.98,19.5
20240801B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],5.68,0.84,0,0,0.34,0.34,0.34,0.34,0.47,0.34
20240801B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],6.97,1.36,0,0,0.34,2.38,1.18,1.11,6.48,2.43
20240801B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],19.5,1.99,0,0,0.34,4.39,1.4,1.74,7.98,19.5
20240801B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],5.68,0.84,0,0,0.34,0.34,0.34,0.34,0.47,0.34
20240801B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],6.97,1.36,0,0,0.34,1.84,1.1,1.15,6.48,2.43
20240801B01,システム約定結果,落札量合計（TSO別）[MW],101.8,44,0,0,30,189.355,161.614,66,15,607.769
20240801B01,システム約定結果,（内訳）自エリアからの落札量[MW],101.8,44,0,0,30,96.2,161.614,66,15,514.614
20240801B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20240801B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20240801B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20240801B01,合計（確報値）,募集量（TSO別）[MW],99,260,927,409,110,546,304,84,333,3072
20240801B01,合計（確報値）,応札量合計（電源属地別）[MW],103.79,64,0,0,30,216.9,268.403,82,15,780.093
20240801B01,合計（確報値）,約定量合計（電源属地別）[MW],101.8,44,0,0,30,96.2,170.079,82,15,539.079
20240801B01,合計（確報値）,応札件数（電源属地別）[件],4,4,0,0,1,6,7,5,2,29
20240801B01,合計（確報値）,約定件数（電源属地別）[件],3,3,0,0,1,3,6,5,2,23
20240801B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],19.5,0.84,0,0,0.34,4.39,1.4,1.74,7.98,19.5
20240801B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],5.68,0.35,0,0,0.34,0.34,0.34,0.34,0.47,0.34
20240801B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],6.97,0.62,0,0,0.34,2.38,1.12,1.11,6.48,2.51
20240801B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],19.5,0.84,0,0,0.34,4.39,1.4,1.74,7.98,19.5
20240801B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],5.68,0.35,0,0,0.34,0.34,0.34,0.34,0.47,0.34
20240801B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],6.97,0.62,0,0,0.34,1.9,1,1.15,6.48,2.51
20240801B01,合計（確報値）,約定量合計（TSO別）[MW],101.8,44,0,0,30,168.915,113.364,66,15,539.079
20240801B01,合計（確報値）,（内訳）自エリアからの約定量[MW],101.8,44,0,0,30,96.2,113.364,66,15,466.364
20240801B02,システム約定結果,募集量（TSO別）[MW],101,257,929,413,111,546,300,89,337,3083
20240801B02,システム約定結果,応札量合計（電源属地別）[MW],153.2,44,0,0,30,96.2,238.769,77,16.99,656.159
20240801B02,システム約定結果,落札量合計（電源属地別）[MW],111.8,44,0,0,30,96.2,238.769,77,16.99,614.759
20240801B02,システム約定結果,応札件数（電源属地別）[件],5,3,0,0,1,3,5,5,3,25
20240801B02,システム約定結果,落札件数（電源属地別）[件],4,3,0,0,1,3,5,5,3,24
20240801B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.5,2.24,0,0,0.34,4.35,1.38,1.52,19.5,19.5
20240801B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],1.96,0.89,0,0,0.34,0.34,0.34,0.34,0.34,0.34
