H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数,,,,,,,,
P,確報値,202503,一次調整力,8,,,,,,,,
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250301B01,システム約定結果,募集量（TSO別）[MW],120,291,876,308,132,531,311,82,333,2984
20250301B01,システム約定結果,応札量合計（電源属地別）[MW],203.79,58.67,0,0,19,0,193.815,45,47.979,568.254
20250301B01,システム約定結果,落札量合計（電源属地別）[MW],122.8,58.67,0,0,19,0,193.815,45,47.979,487.264
20250301B01,システム約定結果,応札件数（電源属地別）[件],5,5,0,0,1,0,5,2,5,23
20250301B01,システム約定結果,落札件数（電源属地別）[件],4,5,0,0,1,0,5,2,5,22
20250301B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4,2.53,0,0,1.37,0,2.39,1.33,19.51,19.51
20250301B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],2.99,1.26,0,0,1.37,0,0.34,0.68,0.41,0.34
20250301B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.17,2.06,0,0,1.37,0,1.99,0.84,3.93,2.36
20250301B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4,2.53,0,0,1.37,0,2.39,1.33,19.51,19.51
20250301B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],2.99,1.26,0,0,1.37,0,0.34,0.68,0.41,0.34
20250301B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.17,2.06,0,0,1.37,0,1.99,0.84,3.93,2.36
20250301B01,システム約定結果,落札量合計（TSO別）[MW],122.8,58.67,0,0,19,0,193.815,45,47.979,487.264
20250301B01,システム約定結果,（内訳）自エリアからの落札量[MW],122.8,58.67,0,0,19,0,193.815,45,47.979,487.264
20250301B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B01,合計（確報値）,募集量（TSO別）[MW],120,291,876,308,132,531,311,82,333,2984
20250301B01,合計（確報値）,応札量合計（電源属地別）[MW],203.79,58.67,0,0,19,0,193.815,45,47.979,568.254
20250301B01,合計（確報値）,約定量合計（電源属地別）[MW],122.8,58.67,0,0,19,0,114.479,45,47.979,407.928
20250301B01,合計（確報値）,応札件数（電源属地別）[件],5,5,0,0,1,0,5,2,5,23
20250301B01,合計（確報値）,約定件数（電源属地別）[件],4,5,0,0,1,0,4,2,5,21
20250301B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],4,2.53,0,0,1.37,0,2.39,1.33,19.51,19.51
20250301B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],2.99,1.26,0,0,1.37,0,0.34,0.68,0.41,0.34
20250301B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],3.17,2.06,0,0,1.37,0,1.76,0.84,3.93,2.36
20250301B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],4,2.53,0,0,1.37,0,2.39,1.33,19.51,19.51
20250301B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],2.99,1.26,0,0,1.37,0,0.34,0.68,0.41,0.34
20250301B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],3.17,2.06,0,0,1.37,0,1.76,0.84,3.93,2.36
20250301B01,合計（確報値）,約定量合計（TSO別）[MW],122.8,58.67,0,0,19,0,114.479,45,47.979,407.928
20250301B01,合計（確報値）,（内訳）自エリアからの約定量[MW],122.8,58.67,0,0,19,0,114.479,45,47.979,407.928
20250301B02,システム約定結果,募集量（TSO別）[MW],120,282,872,315,135,527,309,83,335,2978
20250301B02,システム約定結果,応札量合計（電源属地別）[MW],185.99,58.67,1.85,0,19,0,193.815,45,13.979,518.304
20250301B02,システム約定結果,落札量合計（電源属地別）[MW],184,58.67,1.85,0,19,0,193.815,45,13.979,516.314
20250301B02,システム約定結果,応札件数（電源属地別）[件],4,5,1,0,1,0,5,2,4,22
20250301B02,システム約定結果,落札件数（電源属地別）[件],3,5,1,0,1,0,5,2,4,21
20250301B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4.15,2.82,16.6,0,1.41,0,3.33,1.44,19.51,19.51
20250301B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.01,1.26,16.6,0,1.41,0,0.34,0.65,1.08,0.34
20250301B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.57,2.29,16.6,0,1.41,0,2.75,0.84,6.43,2.92
20250301B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4.15,2.82,16.6,0,1.41,0,3.33,1.44,19.51,19.51
20250301B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],3.01,1.26,16.6,0,1.41,0,0.34,0.65,0.34,0.34
20250301B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.57,2.29,16.6,0,1.41,0,2.8,0.84,4.95,2.92
20250301B02,システム約定結果,落札量合計（TSO別）[MW],184,58.67,1.85,0,19,0,188.876,45,18.918,516.314
20250301B02,システム約定結果,（内訳）自エリアからの落札量[MW],184,58.67,1.85,0,19,0,188.876,45,13.979,511.375
20250301B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,合計（確報値）,募集量（TSO別）[MW],120,282,872,315,135,527,309,83,335,2978
20250301B02,合計（確報値）,応札量合計（電源属地別）[MW],185.99,58.67,1.85,0,19,0,193.815,45,13.979,518.304
20250301B02,合計（確報値）,約定量合計（電源属地別）[MW],184,58.67,1.85,0,19,0,114.479,45,13.979,436.978
20250301B02,合計（確報値）,応札件数（電源属地別）[件],4,5,1,0,1,0,5,2,4,22
